,staff01_note01,staff01_note02,staff01_note03,staff01_note04,staff01_note05,staff02_note01,staff02_note02,staff02_note03,staff02_note04,staff02_note05
245,74,0,0,0,0,43,50,0,0,0
246,66,75,0,0,0,43,52,0,0,0
247,65,74,0,0,0,43,50,0,0,0
248,64,72,0,0,0,36,0,0,0,0
249,72,76,79,84,0,36,0,0,0,0
250,72,76,79,84,0,0,0,0,0,0
251,77,81,0,0,0,41,0,0,0,0
252,69,70,71,72,0,41,48,0,0,0
253,67,71,77,79,0,43,50,0,0,0
254,64,67,72,0,0,36,0,0,0,0
255,65,0,0,0,0,36,45,0,0,0
256,52,55,58,60,0,36,0,0,0,0
257,48,52,55,59,0,36,40,0,0,0
258,48,52,55,57,0,36,45,0,0,0
259,57,60,63,65,0,41,0,0,0,0
260,53,57,60,63,0,41,45,0,0,0
261,53,57,60,62,0,41,50,0,0,0
262,77,81,83,86,0,41,0,0,0,0
263,72,76,78,81,0,36,0,0,0,0
264,69,72,76,78,0,36,40,0,0,0
265,69,72,76,77,0,36,45,0,0,0
266,67,71,77,79,0,43,47,0,0,0
267,63,69,0,0,0,36,39,0,0,0
268,64,72,0,0,0,36,40,0,0,0
269,72,83,84,0,0,36,43,0,0,0
270,79,0,0,0,0,36,43,0,0,0
271,72,84,0,0,0,36,0,0,0,0
272,81,0,0,0,0,36,0,0,0,0
273,75,0,0,0,0,36,39,0,0,0
274,72,0,0,0,0,36,40,0,0,0
275,72,83,84,0,0,36,0,0,0,0
276,72,84,0,0,0,36,43,0,0,0
277,81,0,0,0,0,36,43,0,0,0
278,75,0,0,0,0,36,45,0,0,0
279,72,0,0,0,0,36,43,0,0,0
280,76,0,0,0,0,36,39,0,0,0
281,76,0,0,0,0,36,45,0,0,0
282,81,84,0,0,0,41,0,0,0,0
283,60,64,65,0,0,43,0,0,0,0
284,77,79,0,0,0,43,50,0,0,0
285,63,71,0,0,0,0,0,0,0,0
286,60,0,0,0,0,36,43,0,0,0
287,76,77,78,79,0,36,0,0,0,0
288,75,76,77,78,0,36,0,0,0,0
289,74,75,76,77,0,36,43,0,0,0
290,72,74,75,76,0,36,0,0,0,0
291,72,76,0,0,0,0,0,0,0,0
292,74,77,0,0,0,36,45,0,0,0
293,75,78,0,0,0,0,0,0,0,0
294,76,79,0,0,0,36,0,0,0,0
295,79,82,0,0,0,36,40,0,0,0
296,79,82,0,0,0,36,43,0,0,0
297,82,0,0,0,0,36,43,0,0,0
298,84,0,0,0,0,41,0,0,0,0
299,77,80,0,0,0,41,44,0,0,0
300,77,81,0,0,0,41,45,0,0,0
301,77,84,0,0,0,41,48,0,0,0
302,86,0,0,0,0,41,48,0,0,0
303,81,87,0,0,0,41,50,0,0,0
304,81,87,0,0,0,41,0,0,0,0
305,81,88,0,0,0,41,0,0,0,0
306,81,87,0,0,0,41,44,0,0,0
307,88,0,0,0,0,41,45,0,0,0
308,81,87,0,0,0,41,48,0,0,0
309,88,0,0,0,0,41,48,0,0,0
310,86,0,0,0,0,41,50,0,0,0
311,84,0,0,0,0,0,0,0,0,0
312,81,0,0,0,0,41,48,0,0,0
313,76,0,0,0,0,36,0,0,0,0
314,76,79,84,0,0,36,0,0,0,0
315,76,79,84,0,0,36,39,0,0,0
316,84,0,0,0,0,36,43,0,0,0
317,75,0,0,0,0,36,43,0,0,0
318,79,0,0,0,0,36,0,0,0,0
319,76,0,0,0,0,36,40,0,0,0
320,76,82,0,0,0,36,45,0,0,0
321,74,77,79,0,0,43,0,0,0,0
322,76,0,0,0,0,36,43,0,0,0
323,75,76,79,0,0,36,0,0,0,0
324,84,0,0,0,0,36,39,0,0,0
325,82,0,0,0,0,36,40,0,0,0
326,76,84,0,0,0,36,0,0,0,0
327,82,0,0,0,0,36,0,0,0,0
328,74,0,0,0,0,36,39,0,0,0
329,76,84,0,0,0,36,43,0,0,0
330,74,0,0,0,0,36,45,0,0,0
331,79,0,0,0,0,36,45,0,0,0
332,72,81,84,0,0,41,0,0,0,0
333,77,0,0,0,0,41,44,0,0,0
334,80,0,0,0,0,41,45,0,0,0
335,77,81,0,0,0,41,48,0,0,0
336,84,0,0,0,0,41,48,0,0,0
337,88,0,0,0,0,41,0,0,0,0
338,67,0,0,0,0,43,0,0,0,0
339,74,77,79,0,0,43,47,0,0,0
340,74,77,79,0,0,43,50,0,0,0
341,64,70,72,0,0,0,0,0,0,0
342,65,69,0,0,0,41,0,0,0,0
343,65,68,0,0,0,44,0,0,0,0
344,64,67,0,0,0,41,0,0,0,0
345,53,57,0,0,0,31,0,0,0,0
346,52,60,0,0,0,0,0,0,0,0
347,52,60,0,0,0,36,0,0,0,0
348,0,0,0,0,0,24,0,0,0,0
349,68,0,0,0,0,0,0,0,0,0
350,70,72,0,0,0,0,0,0,0,0
351,0,0,0,0,0,60,64,0,0,0
352,0,0,0,0,0,63,0,0,0,0
353,0,0,0,0,0,64,67,0,0,0
354,0,0,0,0,0,65,69,0,0,0
355,0,0,0,0,0,68,0,0,0,0
356,0,0,0,0,0,71,0,0,0,0
357,0,0,0,0,0,69,72,0,0,0
358,0,0,0,0,0,69,74,0,0,0
359,0,0,0,0,0,68,71,76,0,0
360,0,0,0,0,0,67,71,77,79,0
361,0,0,0,0,0,65,71,74,0,0
362,0,0,0,0,0,65,71,73,0,0
363,0,0,0,0,0,67,0,0,0,0
364,0,0,0,0,0,59,65,0,0,0
365,0,0,0,0,0,59,64,0,0,0
366,0,0,0,0,0,59,62,0,0,0
367,0,0,0,0,0,60,62,0,0,0
368,0,0,0,0,0,60,66,0,0,0
369,0,0,0,0,0,65,67,0,0,0
370,0,0,0,0,0,65,71,0,0,0
371,0,0,0,0,0,60,0,0,0,0
372,0,0,0,0,0,64,67,72,0,0
373,0,0,0,0,0,64,0,0,0,0
374,0,0,0,0,0,67,72,76,0,0
375,0,0,0,0,0,65,0,0,0,0
376,0,0,0,0,0,72,77,0,0,0
377,0,0,0,0,0,69,72,75,81,0
378,0,0,0,0,0,69,0,0,0,0
379,0,0,0,0,0,64,72,0,0,0
380,0,0,0,0,0,64,70,0,0,0
381,0,0,0,0,0,68,72,0,0,0
382,0,0,0,0,0,70,0,0,0,0
383,0,0,0,0,0,72,0,0,0,0
384,0,0,0,0,0,73,77,0,0,0
385,0,0,0,0,0,74,0,0,0,0
386,0,0,0,0,0,74,77,0,0,0
387,0,0,0,0,0,73,0,0,0,0
388,0,0,0,0,0,65,70,0,0,0
389,0,0,0,0,0,66,0,0,0,0
390,0,0,0,0,0,65,69,72,0,0
391,0,0,0,0,0,65,69,74,0,0
392,0,0,0,0,0,60,65,69,0,0
393,0,0,0,0,0,69,72,77,0,0
394,0,0,0,0,0,60,62,68,0,0
395,0,0,0,0,0,60,64,67,0,0
396,0,0,0,0,0,60,67,0,0,0
397,0,0,0,0,0,60,66,69,0,0
398,0,0,0,0,0,62,65,71,0,0
399,0,0,0,0,0,76,0,0,0,0
400,0,0,0,0,0,77,0,0,0,0
401,0,0,0,0,0,70,79,0,0,0
402,0,0,0,0,0,64,69,0,0,0
403,0,0,0,0,0,65,70,74,0,0
404,0,0,0,0,0,63,72,0,0,0
405,0,0,0,0,0,63,67,69,0,0
406,0,0,0,0,0,60,63,67,0,0
407,0,0,0,0,0,60,63,65,0,0
408,0,0,0,0,0,63,65,69,0,0
409,0,0,0,0,0,62,65,0,0,0
410,0,0,0,0,0,65,70,74,77,0
411,0,0,0,0,0,65,71,74,77,0
412,0,0,0,0,0,65,74,0,0,0
413,0,0,0,0,0,64,70,74,0,0
414,0,0,0,0,0,64,70,72,0,0
415,0,0,0,0,0,60,65,0,0,0
416,0,0,0,0,0,62,65,72,0,0
417,0,0,0,0,0,65,69,72,77,0
418,68,73,0,0,0,0,0,0,0,0
419,63,64,68,0,0,0,0,0,0,0
420,59,0,0,0,0,0,0,0,0,0
421,58,0,0,0,0,0,0,0,0,0
422,65,75,0,0,0,0,0,0,0,0
423,65,68,0,0,0,0,0,0,0,0
424,65,70,0,0,0,0,0,0,0,0
425,67,74,0,0,0,51,0,0,0,0
426,0,0,0,0,0,58,0,0,0,0
427,70,0,0,0,0,62,0,0,0,0
428,69,0,0,0,0,53,0,0,0,0
429,69,0,0,0,0,63,0,0,0,0
430,65,72,0,0,0,50,0,0,0,0
431,69,0,0,0,0,60,0,0,0,0
432,0,0,0,0,0,52,0,0,0,0
433,67,0,0,0,0,58,0,0,0,0
434,63,70,0,0,0,0,0,0,0,0
435,67,0,0,0,0,48,58,0,0,0
436,63,70,0,0,0,53,0,0,0,0
437,0,0,0,0,0,53,57,0,0,0
438,61,69,0,0,0,0,0,0,0,0
439,62,70,0,0,0,46,0,0,0,0
440,62,70,0,0,0,58,0,0,0,0
441,66,72,0,0,0,0,0,0,0,0
442,67,74,0,0,0,52,0,0,0,0
443,0,0,0,0,0,57,0,0,0,0
444,72,0,0,0,0,50,0,0,0,0
445,76,0,0,0,0,60,0,0,0,0
446,71,0,0,0,0,55,0,0,0,0
